AnalyzedText	AnalysisDataURN	TextDeformation
urn:cts:greekLit:tlg0012.tlg001.msA:1.7@·[1]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@τίς[1]	urn:cite:hmt:tokentypes.lexical	τίς
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@τάρ[1]	urn:cite:hmt:tokentypes.lexical	τάρ
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@σφωε[1]	urn:cite:hmt:tokentypes.lexical	σφωε
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@θεῶν[1]	urn:cite:hmt:tokentypes.lexical	θεῶν
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@ἔριδι[1]	urn:cite:hmt:tokentypes.lexical	ἔριδι
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@ξυνἕηκε[1]	urn:cite:hmt:tokentypes.lexical	ξυνἕηκε
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@μάχεσθαι[1]	urn:cite:hmt:tokentypes.lexical	μάχεσθαι
urn:cts:greekLit:tlg0012.tlg001.msA:1.8@·[1]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@Λητοῦς[1]	urn:cite:hmt:pers.pers35	Λητοῦς
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@καὶ[1]	urn:cite:hmt:tokentypes.lexical	καὶ
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@Διὸς[1]	urn:cite:hmt:pers.pers8	Διὸς
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@υἱός[1]	urn:cite:hmt:tokentypes.lexical	υἱός
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@·[1]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@ὁ[1]	urn:cite:hmt:tokentypes.lexical	ὁ
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@γὰρ[1]	urn:cite:hmt:tokentypes.lexical	γὰρ
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@βασιλῆϊ[1]	urn:cite:hmt:tokentypes.lexical	βασιλῆϊ
urn:cts:greekLit:tlg0012.tlg001.msA:1.9@χολωθεὶς[1]	urn:cite:hmt:tokentypes.lexical	χολωθεὶς
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@νοῦσον[1]	urn:cite:hmt:tokentypes.lexical	νοῦσον
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ἀνὰ[1]	urn:cite:hmt:tokentypes.lexical	ἀνὰ
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@στρατὸν[1]	urn:cite:hmt:tokentypes.lexical	στρατὸν
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ὦρσε[1]	urn:cite:hmt:tokentypes.lexical	ὦρσε
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@κακήν[1]	urn:cite:hmt:tokentypes.lexical	κακήν
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@·[1]	urn:cite:hmt:tokentypes.punctuation	·
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ὀλέκοντο[1]	urn:cite:hmt:tokentypes.lexical	ὀλέκοντο
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@δὲ[1]	urn:cite:hmt:tokentypes.lexical	δὲ
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@λαοὶ[1]	urn:cite:hmt:tokentypes.lexical	λαοὶ
urn:cts:greekLit:tlg0012.tlg001.msA:1.10@.[1]	urn:cite:hmt:tokentypes.punctuation	.
